order,subj,sec,st_year,st_max,ex_dur,teacher_str,building,room,note,ex_date,code4,ex_time,st_num,ex_dt,teachers
 3, 01006031 CALCULUS 2, 14, 1, 41,09:30:00 - 12:30:00,ผศ. ดร.ธวัชชัย คำประภัสสร, อาคาร 12 ชั้น, E12-502, 28/43,2026-03-16, 010,09,28,2026-03-16 09,ธวัชชัย คำประภัสสร
 3, 01006031 CALCULUS 2, 14, 1, 41,09:30:00 - 12:30:00,ผศ. ดร.ธวัชชัย คำประภัสสร, อาคาร 12 ชั้น, E12-503, 15/43,2026-03-16, 010,09,15,2026-03-16 09,ธวัชชัย คำประภัสสร
 3, 01006031 CALCULUS 2, 21, 1, 37,09:30:00 - 12:30:00,ผศ. ดร.ณัฐพร ชื่นเจริญ, อาคาร 12 ชั้น, E12-505, 38/38,2026-03-16, 010,09,38,2026-03-16 09,ณัฐพร ชื่นเจริญ
 3, 01006031 CALCULUS 2, 22, 1, 35,09:30:00 - 12:30:00,ผศ. ดร.ใจปอง เกษมสุวรรณ์, อาคาร 12 ชั้น, E12-506, 35/35,2026-03-16, 010,09,35,2026-03-16 09,ใจปอง เกษมสุวรรณ์
 3, 01006031 CALCULUS 2, 23, 1, 31,09:30:00 - 12:30:00,ดร.สิริพร แฮนน่า วินเทอร์, อาคาร 12 ชั้น, E12-601, 28/31,2026-03-16, 010,09,28,2026-03-16 09,สิริพร แฮนน่า วินเทอร์
 3, 01006031 CALCULUS 2, 23, 1, 31,09:30:00 - 12:30:00,ดร.สิริพร แฮนน่า วินเทอร์, อาคาร 12 ชั้น, E12-602, 3/31,2026-03-16, 010,09,3,2026-03-16 09,สิริพร แฮนน่า วินเทอร์
 3, 01006031 CALCULUS 2, 27, 1, 42,09:30:00 - 12:30:00,ผศ. ดร.จินดา ไชยช่วย, อาคาร 12 ชั้น, E12-603, 28/43,2026-03-16, 010,09,28,2026-03-16 09,จินดา ไชยช่วย
 3, 01006031 CALCULUS 2, 27, 1, 42,09:30:00 - 12:30:00,ผศ. ดร.จินดา ไชยช่วย, อาคาร 12 ชั้น, E12-605, 15/43,2026-03-16, 010,09,15,2026-03-16 09,จินดา ไชยช่วย
 3, 01006031 CALCULUS 2, 28, 1, 25,09:30:00 - 12:30:00,ผศ. ดร.ใจปอง เกษมสุวรรณ์, อาคาร 12 ชั้น, E12-504, 25/25,2026-03-16, 010,09,25,2026-03-16 09,ใจปอง เกษมสุวรรณ์
 3, 01006031 CALCULUS 2, 29, 1, 28,09:30:00 - 12:30:00,"ผศ.นิจจารีย์ สัตยารักษ์,ผศ. ดร.นัชนัยน์ รุ่งเหมือนฟ้า", อาคาร 12 ชั้น, E12-606, 28/29,2026-03-16, 010,09,28,2026-03-16 09,นิจจารีย์ สัตยารักษ์;นัชนัยน์ รุ่งเหมือนฟ้า
 3, 01006031 CALCULUS 2, 29, 1, 28,09:30:00 - 12:30:00,"ผศ.นิจจารีย์ สัตยารักษ์,ผศ. ดร.นัชนัยน์ รุ่งเหมือนฟ้า", อาคาร 12 ชั้น, E12-607, 1/29,2026-03-16, 010,09,1,2026-03-16 09,นิจจารีย์ สัตยารักษ์;นัชนัยน์ รุ่งเหมือนฟ้า
 3, 01006031 CALCULUS 2, 30, 1, 37,09:30:00 - 12:30:00,"ผศ.นิจจารีย์ สัตยารักษ์,ผศ. ดร.นัชนัยน์ รุ่งเหมือนฟ้า", อาคาร 12 ชั้น, E12-701, 28/38,2026-03-16, 010,09,28,2026-03-16 09,นิจจารีย์ สัตยารักษ์;นัชนัยน์ รุ่งเหมือนฟ้า
 3, 01006031 CALCULUS 2, 30, 1, 37,09:30:00 - 12:30:00,"ผศ.นิจจารีย์ สัตยารักษ์,ผศ. ดร.นัชนัยน์ รุ่งเหมือนฟ้า", อาคาร 12 ชั้น, E12-702, 10/38,2026-03-16, 010,09,10,2026-03-16 09,นิจจารีย์ สัตยารักษ์;นัชนัยน์ รุ่งเหมือนฟ้า
 3, 01006031 CALCULUS 2, 33, 1, 32,09:30:00 - 12:30:00,รศ. ดร.ถาวร เบญจนราสุทธิ์, อาคาร 12 ชั้น, E12-703, 34/34,2026-03-16, 010,09,34,2026-03-16 09,ถาวร เบญจนราสุทธิ์
 3, 01006031 CALCULUS 2, 34, 1, 37,09:30:00 - 12:30:00,"รศ. ดร.ศักดิ์ชัย ทิพย์จักษุรัตน์,ผศ. ดร.อำนาจ ขาวเน", HM, HM-305, 37/37,2026-03-16, 010,09,37,2026-03-16 09,ศักดิ์ชัย ทิพย์จักษุรัตน์;อำนาจ ขาวเน
 3, 01006031 CALCULUS 2, 35, 1, 46,09:30:00 - 12:30:00,"รศ. ดร.ศักดิ์ชัย ทิพย์จักษุรัตน์,ผศ. ดร.อำนาจ ขาวเน", HM, HM-403, 24/46,2026-03-16, 010,09,24,2026-03-16 09,ศักดิ์ชัย ทิพย์จักษุรัตน์;อำนาจ ขาวเน
 3, 01006031 CALCULUS 2, 35, 1, 46,09:30:00 - 12:30:00,"รศ. ดร.ศักดิ์ชัย ทิพย์จักษุรัตน์,ผศ. ดร.อำนาจ ขาวเน", HM, HM-404, 22/46,2026-03-16, 010,09,22,2026-03-16 09,ศักดิ์ชัย ทิพย์จักษุรัตน์;อำนาจ ขาวเน
 3, 01006031 CALCULUS 2, 36, 1, 37,09:30:00 - 12:30:00,"ดร.สุริภณ สมควรพาณิชย์,ผศ. ดร.วีระ เพ็งจันทร์", อาคาร 12 ชั้น, E12-801, 28/38,2026-03-16, 010,09,28,2026-03-16 09,สุริภณ สมควรพาณิชย์;วีระ เพ็งจันทร์
 3, 01006031 CALCULUS 2, 36, 1, 37,09:30:00 - 12:30:00,"ดร.สุริภณ สมควรพาณิชย์,ผศ. ดร.วีระ เพ็งจันทร์", อาคาร 12 ชั้น, E12-802, 10/38,2026-03-16, 010,09,10,2026-03-16 09,สุริภณ สมควรพาณิชย์;วีระ เพ็งจันทร์
,, 37, 1, 39,09:30:00 - 12:30:00,"ดร.สุริภณ สมควรพาณิชย์,ผศ. ดร.วีระ เพ็งจันทร์", อาคาร 12 ชั้น, E12-803, 28/39,2026-03-16,,09,28,2026-03-16 09,สุริภณ สมควรพาณิชย์;วีระ เพ็งจันทร์
,, 37, 1, 39,09:30:00 - 12:30:00,"ดร.สุริภณ สมควรพาณิชย์,ผศ. ดร.วีระ เพ็งจันทร์", อาคาร 12 ชั้น, E12-804, 11/39,2026-03-16,,09,11,2026-03-16 09,สุริภณ สมควรพาณิชย์;วีระ เพ็งจันทร์
,, 38, 1, 15,09:30:00 - 12:30:00,"ดร.สุริภณ สมควรพาณิชย์,รศ. ดร.นภศูล วงษ์วานิช", อาคาร 12 ชั้น, E12-805, 15/15,2026-03-16,,09,15,2026-03-16 09,สุริภณ สมควรพาณิชย์;นภศูล วงษ์วานิช
,, 51, 1, 49,09:30:00 - 12:30:00,อ.สยาม สงวนรัมย์, เครื่องกล, ME-402, 49/49,2026-03-16,,09,49,2026-03-16 09,สยาม สงวนรัมย์
 4, 01006032 ELEMENTARY DIFFERENTIAL EQUATIONS AND LINEAR ALGEBRA, 54, 1, 50,09:30:00 - 12:30:00,ผศ.สองเมือง นันทขว้าง, อาคาร 12 ชั้น, E12-401, 28/50,2026-03-16, 010,09,28,2026-03-16 09,สองเมือง นันทขว้าง
 4, 01006032 ELEMENTARY DIFFERENTIAL EQUATIONS AND LINEAR ALGEBRA, 54, 1, 50,09:30:00 - 12:30:00,ผศ.สองเมือง นันทขว้าง, อาคาร 12 ชั้น, E12-402, 22/50,2026-03-16, 010,09,22,2026-03-16 09,สองเมือง นันทขว้าง
