order,subj,sec,st_year,st_max,ex_dur,teacher_str,building,room,note,ex_date,code4,ex_time,st_num,ex_dt,teachers
 17, 01217002 CALCULUS 2, 251, 1, 20,09:30:00 - 12:30:00,รศ. ดร.สกนธ์ คล่องบุญจิต, เครื่องกล, ME-210, 20/20,2026-03-16, 012,09,20,2026-03-16 09,สกนธ์ คล่องบุญจิต
 17, 01217002 CALCULUS 2, 252, 1, 23,09:30:00 - 12:30:00,รศ. ดร.สกนธ์ คล่องบุญจิต, เครื่องกล, ME-312, 23/23,2026-03-16, 012,09,23,2026-03-16 09,สกนธ์ คล่องบุญจิต
 18, 01226071 PETROLEUM AND NATURAL GAS TECHNOLOGY, 1, 4, 27,09:30:00 - 12:30:00,รศ. ดร.เกรียงศักดิ์ ไกรวัฒนวงศ์, อาคาร 12 ชั้น, E12-504, 28/28,2026-03-16, 012,09,28,2026-03-16 09,เกรียงศักดิ์ ไกรวัฒนวงศ์
 19, 01306020 ELECTRIC CIRCUITS, 1, 1, 38,09:30:00 - 12:30:00,ผศ. ดร.ธีรพล โพธิ์พงศ์วิวัฒน์, HM, HM-301, 38/38,2026-03-16, 013,09,38,2026-03-16 09,ธีรพล โพธิ์พงศ์วิวัฒน์
 20, 01306203 MECHATRONICS AND EMBEDDED MICROCOMPUTER, 1, 3, 32,09:30:00 - 12:30:00,ผศ. ดร.เปี่ยมภูมิ สฤกพฤกษ์, HM, HM-303, 32/32,2026-03-16, 013,09,32,2026-03-16 09,เปี่ยมภูมิ สฤกพฤกษ์
 21, 01346001 ENGINEERING MATHEMATICS 2, 55, 1, 40,09:30:00 - 12:30:00,"ผศ. ดร.สมเกียรติ ฤกษ์วรัญญู,ผศ. ดร.สิรภพ ตู้ประกาย", เครื่องกล, ME-410, 41/41,2026-03-16, 013,09,41,2026-03-16 09,สมเกียรติ ฤกษ์วรัญญู;สิรภพ ตู้ประกาย
 22, 01356419 INDUSTRIAL WORK STUDY, 1, 2, 18,09:30:00 - 12:30:00,"รศ. ดร.วิภู ศรีสืบสาย,รศ. ดร.จรสวรรณ โกยวานิช", HM, HM-401, 18/18,2026-03-16, 013,09,18,2026-03-16 09,วิภู ศรีสืบสาย;จรสวรรณ โกยวานิช
 23, 01366111 CHEMISTRY FOR CHEMICAL ENGINEERING, 1, 2, 1,09:30:00 - 12:30:00,รศ. ดร.ธีรพร สุธีวงศ์, HM, HM-401, 1/1,2026-03-16, 013,09,1,2026-03-16 09,ธีรพร สุธีวงศ์
 24, 01406108 ADVANCED CALCULUS FOR ELECTRICAL ENGINEERING, 32, 1, 47,09:30:00 - 12:30:00,"ผศ. ดร.ตุลยา ลิมปิติ,ผศ. ดร.ณัฐกานต์ พุทธรักษ์", เครื่องกล, ME-310, 35/51,2026-03-16, 014,09,35,2026-03-16 09,ตุลยา ลิมปิติ;ณัฐกานต์ พุทธรักษ์
 24, 01406108 ADVANCED CALCULUS FOR ELECTRICAL ENGINEERING, 32, 1, 47,09:30:00 - 12:30:00,"ผศ. ดร.ตุลยา ลิมปิติ,ผศ. ดร.ณัฐกานต์ พุทธรักษ์", เครื่องกล, ME-312, 16/51,2026-03-16, 014,09,16,2026-03-16 09,ตุลยา ลิมปิติ;ณัฐกานต์ พุทธรักษ์
 25, 01416621 LEAN MANAGEMENT, 1, 3, 6,09:30:00 - 12:30:00,"ผศ. ดร.รณน เจียรตระกูล,ดร.Nagoor  Basha SHAIK", HM, HM-402, 6/6,2026-03-16, 014,09,6,2026-03-16 09,รณน เจียรตระกูล;Nagoor  Basha SHAIK
 26, 01426001 ENGINEERING STATICS, 14, 1, 39,09:30:00 - 12:30:00,รศ. ดร.สุตาภัทร แคว้นเขาเม็ง, HM, HM-302, 39/39,2026-03-16, 014,09,39,2026-03-16 09,สุตาภัทร แคว้นเขาเม็ง
 27, 01456103 MATHEMATIC FOR ELECTRICAL ENGINEERING 2, 1, 1, 48,09:30:00 - 12:30:00,"รศ. ดร.พีรวุฒิ ยุทธโกวิท,ดร.ปุณยวีร์ ฉายศิริ", เครื่องกล, ME-402, 48/48,2026-03-16, 014,09,48,2026-03-16 09,พีรวุฒิ ยุทธโกวิท;ปุณยวีร์ ฉายศิริ
 28, 01516151 ENERGY MANAGEMENT CONTROL SYSTEMS, 26, 2, 10,09:30:00 - 12:30:00,ผศ. ดร.เปี่ยมภูมิ สฤกพฤกษ์, HM, HM-402, 10/10,2026-03-16, 015,09,10,2026-03-16 09,เปี่ยมภูมิ สฤกพฤกษ์
 29, 01526107 MACHINE LEARNING, 91, 3, 38,09:30:00 - 12:30:00,"ดร.นัทธพงศ์ จึงธีรพานิช,ดร.Nagoor  Basha SHAIK", HM, HM-306, 38/38,2026-03-16, 015,09,38,2026-03-16 09,นัทธพงศ์ จึงธีรพานิช;Nagoor  Basha SHAIK
