order,subj,sec,st_year,st_max,ex_dur,teacher_str,building,room,note,ex_date,code4,ex_time,st_num,ex_dt,teachers
 1,01006804 ENGINEERING MATERIALS, 901, 1, 35,13:30:00 - 16:30:00,อ.พิศรุต ภูมิรัตน, HM, HM-303, 36/36,2026-03-19,0100,13,36,2026-03-19 13,พิศรุต ภูมิรัตน
 1,01006804 ENGINEERING MATERIALS, 902, 1, 39,13:30:00 - 16:30:00,"ผศ. ดร.อภินันท์ นัมคณิสรณ์,อ.พิศรุต ภูมิรัตน", HM, HM-305, 39/39,2026-03-19,0100,13,39,2026-03-19 13,อภินันท์ นัมคณิสรณ์;พิศรุต ภูมิรัตน
 2,"01016472 COMMUNICATION, NAVIGATION AND SURVEILLANCE (CNS) TECHNOLOGY FOR AVIATION", 1, 4, 4,13:30:00 - 16:30:00,ศ. ดร.พรชัย ทรัพย์นิธิ,,,,2026-03-19,0101,13,0,2026-03-19 13,พรชัย ทรัพย์นิธิ
 3,"01016643 COMMUNICATION, NAVIGATION AND SURVEILLANCE (CNS) TECHNOLOGY FOR AVIATION", 1, 3, 20,13:30:00 - 16:30:00,ศ. ดร.พรชัย ทรัพย์นิธิ, เครื่องกล, ME-210, 20/20,2026-03-19,0101,13,20,2026-03-19 13,พรชัย ทรัพย์นิธิ
 4,01046724 ANALOG INTEGRATED CIRCUITS, 1, 3, 63,13:30:00 - 16:30:00,ศ. ดร.วรากร เกษมสุวรรณ์, เครื่องกล, ME-212, 35/63,2026-03-19,0104,13,35,2026-03-19 13,วรากร เกษมสุวรรณ์
 4,01046724 ANALOG INTEGRATED CIRCUITS, 1, 3, 63,13:30:00 - 16:30:00,ศ. ดร.วรากร เกษมสุวรรณ์, เครื่องกล, ME-214, 28/63,2026-03-19,0104,13,28,2026-03-19 13,วรากร เกษมสุวรรณ์
 4,01046724 ANALOG INTEGRATED CIRCUITS, 2, 3, 46,13:30:00 - 16:30:00,ผศ.เกรียงไกร สุขสุด, เครื่องกล, ME-402, 47/47,2026-03-19,0104,13,47,2026-03-19 13,เกรียงไกร สุขสุด
 5,01046774 POWER ELECTRONICS, 1, 4, 50,13:30:00 - 16:30:00,"รศ.จิรวัฒน์ ปานกลาง,อ.ชินภัทร นันทจิวากรชัย", เครื่องกล, ME-408, 45/50,2026-03-19,0104,13,45,2026-03-19 13,จิรวัฒน์ ปานกลาง;ชินภัทร นันทจิวากรชัย
 5,01046774 POWER ELECTRONICS, 1, 4, 50,13:30:00 - 16:30:00,"รศ.จิรวัฒน์ ปานกลาง,อ.ชินภัทร นันทจิวากรชัย", เครื่องกล, ME-410, 5/50,2026-03-19,0104,13,5,2026-03-19 13,จิรวัฒน์ ปานกลาง;ชินภัทร นันทจิวากรชัย
